survived,age,fare,pclass,sibsp,parch,family_size,is_alone,sex_male,sex_female,embarked_C,embarked_Q,embarked_S,title_Master,title_Miss,title_Mr,title_Mrs,title_Other
0,22.0,7.25,3,1,0,2,0,1,0,False,False,True,False,False,True,False,False
1,38.0,71.2833,1,1,0,2,0,0,1,True,False,False,False,False,False,True,False
1,26.0,7.925,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
1,35.0,53.1,1,1,0,2,0,0,1,False,False,True,False,False,False,True,False
0,35.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,25.0,8.4583,3,0,0,1,1,1,0,False,True,False,False,False,True,False,False
0,54.0,51.8625,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,2.0,21.075,3,3,1,5,0,1,0,False,False,True,True,False,False,False,False
1,27.0,11.1333,3,0,2,3,0,0,1,False,False,True,False,False,False,True,False
1,14.0,30.0708,2,1,0,2,0,0,1,True,False,False,False,False,False,True,False
1,4.0,16.7,3,1,1,3,0,0,1,False,False,True,False,True,False,False,False
1,58.0,26.55,1,0,0,1,1,0,1,False,False,True,False,True,False,False,False
0,20.0,8.05,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,39.0,31.275,3,1,5,7,0,1,0,False,False,True,False,False,True,False,False
0,14.0,7.8542,3,0,0,1,1,0,1,False,False,True,False,True,False,False,False
1,55.0,16.0,2,0,0,1,1,0,1,False,False,True,False,False,False,True,False
0,2.0,29.125,3,4,1,6,0,1,0,False,True,False,True,False,False,False,False
1,30.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,31.0,18.0,3,1,0,2,0,0,1,False,False,True,False,False,False,True,False
1,21.5,7.225,3,0,0,1,1,0,1,True,False,False,False,False,False,True,False
0,35.0,26.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,34.0,13.0,2,0,0,1,1,1,0,False,False,True,False,False,True,False,False
1,15.0,8.0292,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
1,28.0,35.5,1,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,8.0,21.075,3,3,1,5,0,0,1,False,False,True,False,True,False,False,False
1,38.0,31.3875,3,1,5,7,0,0,1,False,False,True,False,False,False,True,False
0,25.0,7.225,3,0,0,1,1,1,0,True,False,False,False,False,True,False,False
0,19.0,263.0,1,3,2,6,0,1,0,False,False,True,False,False,True,False,False
1,21.5,7.8792,3,0,0,1,1,0,1,False,True,False,False,True,False,False,False
0,25.0,7.8958,3,0,0,1,1,1,0,False,False,True,False,False,True,False,False
0,40.0,27.7208,1,0,0,1,1,1,0,True,False,False,False,False,False,False,True
1,35.0,146.5208,1,1,0,2,0,0,1,True,False,False,False,False,False,True,False
